Sales_ID,Order_ID,Gender_Category,Product_Line,Product_Name,Size,Units_Sold,MRP,Discount_Applied,Revenue,Order_Date,Sales_Channel,Region,Profit,Original_Revenue,Units_Was_Missing,Units_Was_Invalid,MRP_Was_Missing,Discount_Was_Missing,Discount_Was_Invalid,Date_Was_Missing,Calculated_Revenue,Revenue_Difference,Revenue_Match
1,2000,Kids,Training,Superrep Go,M,3.0,5280.57,0.47,0.0,2024-09-03,Online,Bengaluru,-770.45,0.0,True,False,True,False,False,False,8396.11,-8396.11,False
2,2001,Women,Soccer,Tiempo Legend,M,3.0,4957.93,0.48,0.0,2024-09-07,Retail,Hyderabad,-112.53,0.0,False,False,False,True,False,False,7734.37,-7734.37,False
3,2002,Women,Soccer,Premier Iii,M,4.0,5773.245,0.48,0.0,,Retail,Mumbai,3337.34,0.0,False,False,True,True,False,True,12008.35,-12008.35,False
4,2003,Kids,Lifestyle,Blazer Mid,L,2.5,9673.57,0.5,0.0,2024-10-04,Online,Pune,3376.85,0.0,True,False,False,True,False,False,12091.96,-12091.96,False
5,2004,Kids,Running,React Infinity,XL,3.0,6492.155000000001,0.48,0.0,2024-12-09,Retail,Delhi,187.89,0.0,True,False,True,True,False,False,10127.76,-10127.76,False
6,2005,Women,Training,Flex Trainer,M,1.0,7363.96,0.48,0.0,,Retail,Delhi,1415.98,0.0,False,False,False,True,False,True,3829.26,-3829.26,False
7,2006,Men,Training,Superrep Go,M,3.0,6819.78,0.5,0.0,2025-06-04,Online,Bengaluru,1802.09,0.0,True,False,False,True,False,False,10229.67,-10229.67,False
8,2007,Kids,Training,Superrep Go,M,1.0,5280.57,0.32,0.0,,Retail,Bengaluru,2928.36,0.0,False,False,True,False,False,True,3590.79,-3590.79,False
9,2008,Women,Soccer,Premier Iii,11,2.0,5773.245,0.5,0.0,2024-10-11,Online,Hyderabad,-731.18,0.0,False,True,True,True,False,False,5773.24,-5773.24,False
10,2009,Men,Soccer,Mercurial Superfly,M,4.0,6569.65,0.5,0.0,,Online,Pune,3929.61,0.0,False,False,True,True,False,True,13139.3,-13139.3,False
11,2010,Kids,Lifestyle,Waffle One,L,1.0,7949.83,0.5,0.0,2025-01-16,Online,Pune,1965.56,0.0,False,False,False,True,False,False,3974.92,-3974.92,False
12,2011,Women,Training,Flex Trainer,L,2.0,9586.08,0.48,0.0,,Retail,Hyderabad,1667.08,0.0,False,True,False,True,False,True,9969.52,-9969.52,False
13,2018,Kids,Lifestyle,Blazer Mid,,2.5,6383.24,0.86,0.0,2024-11-13,Online,Delhi,2109.48,0.0,False,True,True,False,False,False,2234.13,-2234.13,False
14,2013,Kids,Training,Superrep Go,,3.0,9671.05,0.5,0.0,2024-09-19,Online,Hyderabad,299.34,0.0,True,False,False,True,False,False,14506.58,-14506.58,False
15,2014,Women,Running,React Infinity,11,3.0,6492.155000000001,0.5,0.0,2025-12-04,Online,Bengaluru,-1044.4,0.0,True,False,True,True,False,False,9738.23,-9738.23,False
16,2015,Kids,Basketball,Air Jordan,,3.0,3285.52,0.48,0.0,2025-05-31,Retail,Kolkata,1193.21,0.0,True,False,False,True,False,False,5125.41,-5125.41,False
17,2016,Women,Basketball,Air Jordan,M,1.0,9871.75,0.3,6910.22,,Retail,Hyderabad,2452.69,6910.22,False,False,False,False,False,True,6910.22,0.0,True
18,2017,Women,Basketball,Air Jordan,9,4.0,6235.71,0.48,0.0,2025-03-17,Retail,Delhi,1946.24,0.0,False,False,True,True,False,False,12970.28,-12970.28,False
19,2018,Men,Training,Metcon 7,XL,2.0,5890.69,0.5,0.0,,Online,Bengaluru,-966.89,0.0,False,True,True,False,True,True,5890.69,-5890.69,False
20,2019,Kids,Running,Air Zoom,6,3.0,3424.06,0.32,0.0,2025-01-17,Online,Hyderabad,1915.24,0.0,False,True,False,False,False,False,6985.08,-6985.08,False
21,2020,Kids,Soccer,Tiempo Legend,L,2.0,6045.785,0.67,0.0,2025-03-28,Retail,Mumbai,439.96,0.0,False,True,True,False,False,False,3990.22,-3990.22,False
22,2021,Men,Running,Free Rn,L,2.0,7086.7,0.66,-2409.48,2024-11-19,Retail,Hyderabad,-1120.49,-2409.48,False,True,False,False,False,False,4818.96,-7228.44,False
23,2022,Women,Soccer,Premier Iii,M,2.0,5773.245,0.5,0.0,2024-09-24,Online,Pune,3427.16,0.0,True,False,True,True,False,False,5773.24,-5773.24,False
24,2023,Men,Lifestyle,Waffle One,M,3.0,5003.95,0.5,0.0,2025-01-10,Online,Mumbai,1498.37,0.0,True,False,False,True,False,False,7505.92,-7505.92,False
25,2024,Kids,Training,Superrep Go,XL,2.5,5280.57,0.5,0.0,2024-12-28,Retail,Bengaluru,1842.35,0.0,False,True,True,False,False,False,6600.71,-6600.71,False
26,2025,Women,Basketball,Kyrie Flytrap,M,3.0,9820.5,0.48,0.0,,Retail,Mumbai,1900.15,0.0,False,False,False,True,False,True,15319.98,-15319.98,False
27,2026,Kids,Lifestyle,Blazer Mid,XL,1.0,6383.24,0.16,0.0,2024-10-08,Retail,Kolkata,2301.64,0.0,False,False,True,False,False,False,5361.92,-5361.92,False
28,2027,Men,Basketball,Zoom Freak,XL,2.0,6435.66,0.22,0.0,,Online,Pune,-138.74,0.0,True,False,True,False,False,True,10039.63,-10039.63,False
