Sales_ID,Order_ID,Gender_Category,Product_Line,Product_Name,Size,Units_Sold,MRP,Discount_Applied,Revenue,Order_Date,Sales_Channel,Region,Profit,Original_Revenue,Units_Was_Missing,Units_Was_Invalid,MRP_Was_Missing,Discount_Was_Missing,Discount_Was_Invalid,Date_Was_Missing,Calculated_Revenue,Revenue_Difference,Revenue_Match,rejection_reason,warning_reason,audit_note,Duplicate_Order_ID,Revenue_Mismatch,Record_Status
2,2001,Women,Soccer,Tiempo Legend,M,3.0,4957.93,0.48,0.0,2024-09-07 00:00:00.000000,Retail,Hyderabad,-112.53,0.0,0,0,0,1,0,0,7734.37,-7734.37,0,,,Units Imputed in V1; Invalid Units Corrected in V1; MRP Imputed in V1; Discount Imputed in V1; Invalid Discount Corrected in V1,False,True,Valid
11,2010,Kids,Lifestyle,Waffle One,L,1.0,7949.83,0.5,0.0,2025-01-16 00:00:00.000000,Online,Pune,1965.56,0.0,0,0,0,1,0,0,3974.92,-3974.92,0,,,,False,True,Valid
15,2014,Women,Running,React Infinity,11,3.0,6492.155000000001,0.5,0.0,2025-12-04 00:00:00.000000,Online,Bengaluru,-1044.4,0.0,1,0,1,1,0,0,9738.23,-9738.23,0,,,,False,True,Valid
16,2015,Kids,Basketball,Air Jordan,,3.0,3285.52,0.48,0.0,2025-05-31 00:00:00.000000,Retail,Kolkata,1193.21,0.0,1,0,0,1,0,0,5125.41,-5125.41,0,,,,False,True,Valid
18,2017,Women,Basketball,Air Jordan,9,4.0,6235.71,0.48,0.0,2025-03-17 00:00:00.000000,Retail,Delhi,1946.24,0.0,0,0,1,1,0,0,12970.28,-12970.28,0,,,,False,True,Valid
25,2024,Kids,Training,Superrep Go,XL,2.5,5280.57,0.5,0.0,2024-12-28 00:00:00.000000,Retail,Bengaluru,1842.35,0.0,0,1,1,0,0,0,6600.71,-6600.71,0,,,,False,True,Valid
35,2034,Men,Basketball,Air Jordan,6,3.0,6235.71,0.48,0.0,2025-04-30 00:00:00.000000,Retail,Delhi,-267.37,0.0,1,0,0,1,0,0,9727.71,-9727.71,0,,,,False,True,Valid
40,2039,Women,Training,Flex Trainer,M,2.0,2767.7,0.63,0.0,2025-04-22 00:00:00.000000,Retail,Hyderabad,-336.3,0.0,1,0,0,0,0,0,2048.1,-2048.1,0,,,,False,True,Valid
52,2051,Women,Basketball,Air Jordan,XL,3.0,6235.71,0.37,0.0,2024-05-01 00:00:00.000000,Retail,Delhi,3135.98,0.0,1,0,1,0,0,0,11785.49,-11785.49,0,,,,False,True,Valid
53,2052,Men,Training,Flex Trainer,10,3.0,9155.96,0.48,0.0,2024-08-10 00:00:00.000000,Retail,Pune,2184.8,0.0,0,0,0,1,0,0,14283.3,-14283.3,0,,,,False,True,Valid
