Sales_ID,Order_ID,Gender_Category,Product_Line,Product_Name,Size,Units_Sold,MRP,Discount_Applied,Revenue,Order_Date,Sales_Channel,Region,Profit,Original_Revenue,Units_Was_Missing,Units_Was_Invalid,MRP_Was_Missing,Discount_Was_Missing,Discount_Was_Invalid,Date_Was_Missing,Calculated_Revenue,Revenue_Difference,Revenue_Match,rejection_reason,warning_reason,audit_note,Duplicate_Order_ID,Revenue_Mismatch,Record_Status
1,2000,Kids,Training,Superrep Go,M,3.0,5280.57,0.47,0.0,2024-09-03 00:00:00.000000,Online,Bengaluru,-770.45,0.0,1,0,1,0,0,0,8396.11,-8396.11,0,,Duplicate Order_ID,Units Imputed in V1; Invalid Units Corrected in V1; MRP Imputed in V1; Discount Imputed in V1; Invalid Discount Corrected in V1,True,True,Warning
4,2003,Kids,Lifestyle,Blazer Mid,L,2.5,9673.57,0.5,0.0,2024-10-04 00:00:00.000000,Online,Pune,3376.85,0.0,1,0,0,1,0,0,12091.96,-12091.96,0,,Duplicate Order_ID,,True,True,Warning
5,2004,Kids,Running,React Infinity,XL,3.0,6492.155000000001,0.48,0.0,2024-12-09 00:00:00.000000,Retail,Delhi,187.89,0.0,1,0,1,1,0,0,10127.76,-10127.76,0,,Duplicate Order_ID,,True,True,Warning
7,2006,Men,Training,Superrep Go,M,3.0,6819.78,0.5,0.0,2025-06-04 00:00:00.000000,Online,Bengaluru,1802.09,0.0,1,0,0,1,0,0,10229.67,-10229.67,0,,Duplicate Order_ID,,True,True,Warning
9,2008,Women,Soccer,Premier Iii,11,2.0,5773.245,0.5,0.0,2024-10-11 00:00:00.000000,Online,Hyderabad,-731.18,0.0,0,1,1,1,0,0,5773.24,-5773.24,0,,Duplicate Order_ID,,True,True,Warning
13,2018,Kids,Lifestyle,Blazer Mid,,2.5,6383.24,0.86,0.0,2024-11-13 00:00:00.000000,Online,Delhi,2109.48,0.0,0,1,1,0,0,0,2234.13,-2234.13,0,,Duplicate Order_ID,,True,True,Warning
14,2013,Kids,Training,Superrep Go,,3.0,9671.05,0.5,0.0,2024-09-19 00:00:00.000000,Online,Hyderabad,299.34,0.0,1,0,0,1,0,0,14506.58,-14506.58,0,,Duplicate Order_ID,,True,True,Warning
20,2019,Kids,Running,Air Zoom,6,3.0,3424.06,0.32,0.0,2025-01-17 00:00:00.000000,Online,Hyderabad,1915.24,0.0,0,1,0,0,0,0,6985.08,-6985.08,0,,Duplicate Order_ID,,True,True,Warning
21,2020,Kids,Soccer,Tiempo Legend,L,2.0,6045.785,0.67,0.0,2025-03-28 00:00:00.000000,Retail,Mumbai,439.96,0.0,0,1,1,0,0,0,3990.22,-3990.22,0,,Duplicate Order_ID,,True,True,Warning
22,2021,Men,Running,Free Rn,L,2.0,7086.7,0.66,-2409.48,2024-11-19 00:00:00.000000,Retail,Hyderabad,-1120.49,-2409.48,0,1,0,0,0,0,4818.96,-7228.44,0,,Duplicate Order_ID,,True,True,Warning
